"No.","Time","Source","Destination","Protocol","Length","Info"
"399466","3177.985004974","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399484","3178.988691972","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399486","3178.992527712","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3109) [Deviceb'Device - 1']"
"399487","3178.992863669","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399490","3178.995458817","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3109)"
"399492","3178.995782821","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399527","3179.999656246","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399529","3180.002675218","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3110) [Deviceb'Device - 1']"
"399530","3180.003151350","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399533","3180.005589511","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3110)"
"399535","3180.005814096","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399550","3181.009155165","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399552","3181.012140122","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3111) [Deviceb'Device - 1']"
"399553","3181.012539419","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399556","3181.014972791","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3111)"
"399558","3181.015343133","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399587","3182.019002316","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399589","3182.022009686","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3112) [Deviceb'Device - 1']"
"399591","3182.026336877","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399593","3182.028600447","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3112)"
"399595","3182.028945891","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399628","3183.032634644","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399630","3183.035424892","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3113) [Deviceb'Device - 1']"
"399631","3183.035838365","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399634","3183.038316552","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3113)"
"399636","3183.038665533","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399652","3184.042666951","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399654","3184.045552721","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3114) [Deviceb'Device - 1']"
"399655","3184.045956707","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399658","3184.048364430","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3114)"
"399660","3184.049126815","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399678","3185.052971818","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399680","3185.055900479","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3115) [Deviceb'Device - 1']"
"399681","3185.056318942","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399684","3185.058734389","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3115)"
"399686","3185.059159906","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399715","3186.063512634","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399717","3186.066414023","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3116) [Deviceb'Device - 1']"
"399718","3186.066843467","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399721","3186.069353724","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3116)"
"399723","3186.069848832","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399742","3187.073641261","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399744","3187.076570132","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3117) [Deviceb'Device - 1']"
"399746","3187.081224283","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399748","3187.083533900","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3117)"
"399750","3187.084071719","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"399762","3188.087992734","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"399764","3188.091026143","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3118) [Deviceb'Device - 1']"
"399765","3188.091392878","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"399768","3188.093866125","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3118)"
"399770","3188.094235165","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400110","3189.097833040","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400112","3189.100843625","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3119) [Deviceb'Device - 1']"
"400113","3189.101232512","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400116","3189.103656286","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3119)"
"400118","3189.104003855","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400130","3190.117176569","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400132","3190.120181684","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3120) [Deviceb'Device - 1']"
"400133","3190.120683566","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400136","3190.123007921","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3120)"
"400138","3190.123410273","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400150","3191.126977706","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400152","3191.129928198","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3121) [Deviceb'Device - 1']"
"400153","3191.130329939","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400156","3191.132923745","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3121)"
"400158","3191.133547156","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400172","3192.137282149","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400174","3192.140714945","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3122) [Deviceb'Device - 1']"
"400176","3192.144507853","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400178","3192.146800789","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3122)"
"400180","3192.147209513","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400194","3193.152464640","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400196","3193.155316675","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3123) [Deviceb'Device - 1']"
"400197","3193.155738915","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400200","3193.158174932","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3123)"
"400202","3193.158906769","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400213","3194.162921879","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400215","3194.166645526","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400216","3194.166694138","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3124) [Deviceb'Device - 1']"
"400219","3194.169639039","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3124)"
"400221","3194.170088511","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400733","3195.173744101","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400735","3195.176756300","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3125) [Deviceb'Device - 1']"
"400736","3195.177207024","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400739","3195.179642550","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3125)"
"400741","3195.180103023","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400759","3196.183294036","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400761","3196.186844104","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3126) [Deviceb'Device - 1']"
"400762","3196.187146807","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400766","3196.189778094","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3126)"
"400768","3196.190298229","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400789","3197.194308178","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400791","3197.197198134","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3127) [Deviceb'Device - 1']"
"400793","3197.201535143","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"400795","3197.204027527","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3127)"
"400797","3197.204554395","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"400808","3198.208382431","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"400813","3198.211396744","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3128) [Deviceb'Device - 1']"
"400814","3198.212052627","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
