"No.","Time","Source","Destination","Protocol","Length","Info"
"167762","1020.749996332","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=997) [Deviceb'Device - 2']"
"167763","1020.750381590","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"167766","1020.752756901","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=997)"
"167768","1020.753259060","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"167780","1021.756930429","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"167782","1021.759799533","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=998) [Deviceb'Device - 2']"
"167783","1021.760204108","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"167786","1021.762607641","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=998)"
"167788","1021.763587043","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"167800","1022.767788193","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"167802","1022.770727170","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=999) [Deviceb'Device - 2']"
"167804","1022.775067004","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"167806","1022.777478193","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=999)"
"167808","1022.777861367","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"167823","1023.782163660","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"167825","1023.785137823","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=1000) [Deviceb'Device - 2']"
"167826","1023.785541165","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"167829","1023.787944339","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1000)"
"167831","1023.788564481","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"167851","1024.792205362","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"167853","1024.795168715","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=1001) [Deviceb'Device - 2']"
"167854","1024.795579762","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"167857","1024.798035745","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1001)"
"167859","1024.798689982","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"167872","1025.802263899","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"167874","1025.805229385","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=1002) [Deviceb'Device - 2']"
"167875","1025.805685227","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"167878","1025.808067411","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1002)"
"167880","1025.808526899","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"167892","1026.812851303","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"167894","1026.815690821","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=1003) [Deviceb'Device - 2']"
"167895","1026.816135812","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"167898","1026.818617434","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1003)"
"167900","1026.819063367","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"167912","1027.822578494","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"167914","1027.827253471","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=1004) [Deviceb'Device - 2']"
"167916","1027.831706430","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"167918","1027.834172442","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1004)"
"167920","1027.834515190","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"167932","1028.838933795","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"167935","1028.841363779","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=1005) [Deviceb'Device - 2']"
"167936","1028.841784164","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"167939","1028.844069485","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1005)"
"167941","1028.844510528","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"169860","1029.847913204","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"169862","1029.850861107","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=1006) [Deviceb'Device - 2']"
"169863","1029.851235494","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"169866","1029.853709742","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1006)"
"169868","1029.854388605","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"169880","1030.858847708","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"169882","1030.861725939","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=1007) [Deviceb'Device - 2']"
"169883","1030.862104524","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"169886","1030.864552653","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=1007)"
"169888","1030.865176692","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
